Date,Price,Open,High,Low
2024-03-24,67211.9,64036.5,67587.8,63812.9
2024-03-23,64037.8,63785.6,65972.4,63074.9
2024-03-22,63785.5,65501.5,66633.3,62328.3
2024-03-21,65503.8,67860.0,68161.7,64616.1
2024-03-20,67854.0,62046.8,68029.5,60850.9
2024-03-19,62050.0,67594.1,68099.6,61560.6
2024-03-18,67594.1,68389.7,68920.1,66601.4
2024-03-17,68391.2,65314.2,68857.7,64605.5
2024-03-16,65314.2,69456.5,70037.0,64971.0
2024-03-15,69463.7,71387.1,72398.1,65765.6
2024-03-14,71387.5,73066.7,73740.9,68717.2
2024-03-13,73066.3,71461.9,73623.5,71338.4
2024-03-12,71470.2,72099.1,72916.7,68845.6
2024-03-11,72099.1,68964.7,72771.5,67452.8
2024-03-10,68964.8,68360.7,69905.3,68165.0
2024-03-09,68366.5,68178.5,68576.9,67923.9
2024-03-08,68172.0,66854.4,69904.0,66170.7
2024-03-07,66855.3,66074.6,67985.5,65602.6
2024-03-06,66080.4,63794.7,67604.9,62848.7
2024-03-05,63792.6,68273.1,69063.1,60138.2
2024-03-04,68270.1,63135.8,68495.1,62746.8
2024-03-03,63135.8,61955.6,63227.3,61399.4
2024-03-02,61994.5,62397.7,62446.3,61621.9
2024-03-01,62397.7,61157.3,63147.3,60790.9
2024-02-29,61169.3,62467.1,63653.4,60512.5
2024-02-28,62467.6,57048.7,63915.3,56704.9
2024-02-27,57056.2,54491.1,57555.2,54464.0
2024-02-26,54495.1,51722.7,54899.1,50925.2
2024-02-25,51722.7,51572.1,51952.0,51299.0
2024-02-24,51571.6,50739.6,51689.9,50592.0
2024-02-23,50740.5,51320.6,51532.5,50537.6
2024-02-22,51320.4,51850.2,52015.8,50947.3
2024-02-21,51858.2,52263.5,52367.3,50676.9
2024-02-20,52263.5,51783.1,52936.8,50801.8
2024-02-19,51783.6,52119.6,52484.8,51694.2
2024-02-18,52117.5,51646.0,52350.3,51199.6
2024-02-17,51646.0,52134.2,52175.5,50652.3
2024-02-16,52134.2,51901.4,52556.7,51612.6
2024-02-15,51901.3,51805.2,52819.4,51327.5
2024-02-14,51782.4,49708.6,52010.7,49263.8
2024-02-13,49716.0,49941.0,50326.6,48398.3
2024-02-12,49941.3,48280.2,50277.3,47729.9
2024-02-11,48277.3,47759.3,48531.6,47590.2
2024-02-10,47758.2,47128.0,48149.0,46875.0
2024-02-09,47127.5,45293.3,48118.8,45254.2
2024-02-08,45293.3,44346.2,45579.2,44336.4
2024-02-07,44339.8,43088.4,44367.9,42783.5
2024-02-06,43087.7,42697.6,43375.5,42566.8
2024-02-05,42697.2,42581.4,43532.2,42272.5
2024-02-04,42581.4,43006.2,43113.2,42379.4
2024-02-03,43005.7,43194.7,43370.4,42882.0
2024-02-02,43194.7,43083.7,43459.3,42596.3
2024-02-01,43081.4,42580.1,43263.1,41890.5
2024-01-31,42580.5,42946.2,43739.7,42315.4
2024-01-30,42946.2,43303.3,43817.9,42702.9
2024-01-29,43299.8,42031.4,43305.6,41824.7
2024-01-28,42030.7,42121.3,42817.1,41649.0
2024-01-27,42120.9,41811.5,42191.8,41413.0
2024-01-26,41811.3,39942.0,42214.8,39831.2
2024-01-25,39935.7,40085.1,40285.8,39546.3
2024-01-24,40086.0,39891.3,40535.2,39510.0
2024-01-23,39888.8,39555.0,40159.4,38546.9
2024-01-22,39556.4,41581.7,41684.9,39468.4
2024-01-21,41583.2,41695.4,41878.0,41504.5
2024-01-20,41695.4,41647.6,41858.0,41449.5
2024-01-19,41648.0,41293.8,42164.6,40305.4
2024-01-18,41292.7,42763.5,42908.0,40682.6
2024-01-17,42768.7,43139.1,43192.3,42211.8
2024-01-16,43145.5,42515.2,43563.7,42093.1
2024-01-15,42510.7,41747.6,43348.9,41719.2
2024-01-14,41746.1,42851.3,43069.4,41739.6
2024-01-13,42851.3,42836.7,43248.6,42443.3
2024-01-12,42835.9,46348.1,46503.2,41857.9
2024-01-11,46348.2,46629.3,48923.7,45651.8
2024-01-10,46629.3,46112.0,47654.3,44403.6
