Date,Open,High,Low,Close
11/29/2024,"94,825","98,729","94,825","97,416"
11/28/2024,"96,625","96,712","94,688","94,825"
11/27/2024,"90,981","97,366","90,784","96,626"
11/26/2024,"94,859","95,134","90,755","90,982"
11/25/2024,"96,884","98,966","94,491","94,856"
11/24/2024,"97,828","98,657","95,795","96,884"
11/23/2024,"99,292","99,489","97,256","97,828"
11/22/2024,"98,326","99,768","97,229","99,291"
11/21/2024,"94,377","99,028","93,885","98,334"
11/20/2024,"92,601","94,963","91,517","94,379"
11/19/2024,"91,573","94,039","90,323","92,607"
11/18/2024,"89,636","92,594","88,743","91,574"
11/17/2024,"90,799","91,428","89,432","89,636"
11/16/2024,"91,487","91,881","90,117","90,799"
11/15/2024,"87,568","91,487","86,706","91,487"
11/14/2024,"89,801","91,773","87,563","87,565"
11/13/2024,"89,530","93,445","86,270","89,801"
11/12/2024,"87,105","89,995","85,157","89,525"
11/11/2024,"79,002","87,491","78,553","87,115"
11/10/2024,"76,330","81,074","76,271","79,002"
11/09/2024,"76,775","76,821","75,778","76,330"
11/08/2024,"76,613","77,276","75,554","76,784"
11/07/2024,"76,225","76,952","74,488","76,618"
11/06/2024,"69,442","76,481","68,914","76,232"
11/05/2024,"67,292","70,520","66,807","69,443"
11/04/2024,"68,935","69,438","67,248","67,290"
11/03/2024,"69,504","69,550","67,471","68,935"
11/02/2024,"69,261","69,869","68,835","69,504"
11/01/2024,"69,949","71,588","68,783","69,267"
10/31/2024,"71,824","72,905","69,942","69,948"
10/30/2024,"72,531","72,952","71,425","71,822"
10/29/2024,"69,587","73,595","69,428","72,532"
10/28/2024,"67,750","69,865","67,549","69,588"
10/27/2024,"67,086","67,889","66,858","67,750"
10/26/2024,"66,727","67,264","65,537","67,086"
10/25/2024,"68,218","68,796","65,897","66,726"
10/24/2024,"66,356","68,278","66,262","68,213"
10/23/2024,"67,457","67,788","65,177","66,353"
10/22/2024,"67,732","67,900","66,591","67,457"
10/21/2024,"68,495","69,471","66,824","67,732"
10/20/2024,"68,179","68,746","68,100","68,495"
10/19/2024,"68,624","68,693","68,029","68,179"
10/18/2024,"66,800","68,997","66,800","68,625"
10/17/2024,"67,743","67,939","66,651","66,795"
10/16/2024,"66,970","68,390","66,155","67,743"
10/15/2024,"65,928","67,890","64,839","66,967"
10/14/2024,"62,720","66,264","62,441","65,930"
10/13/2024,"63,006","63,354","62,037","62,720"
10/12/2024,"63,080","63,451","62,343","63,006"
10/11/2024,"59,667","63,402","59,535","63,079"
10/10/2024,"60,981","61,238","58,889","59,666"
10/09/2024,"62,215","62,513","60,793","60,982"
10/08/2024,"63,346","63,386","61,849","62,217"
10/07/2024,"62,634","64,441","62,303","63,345"
10/06/2024,"61,841","62,945","61,713","62,633"
10/05/2024,"62,399","62,470","61,703","61,841"
10/04/2024,"61,033","62,462","60,470","62,403"
10/03/2024,"60,189","61,461","59,861","61,030"
10/02/2024,"61,722","62,351","59,991","60,188"
10/01/2024,"63,432","64,104","61,082","61,718"
09/30/2024,"65,973","66,072","63,061","63,431"
09/29/2024,"65,735","65,984","65,450","65,973"
09/28/2024,"65,686","66,239","65,458","65,735"
09/27/2024,"64,747","66,492","64,658","65,689"
09/26/2024,"63,155","65,811","62,671","64,748"
09/25/2024,"64,333","64,794","63,002","63,155"
09/24/2024,"63,730","64,372","63,690","64,333"
09/23/2024,"63,164","64,721","62,432","63,305"
09/22/2024,"63,214","63,538","62,485","63,164"
09/21/2024,"62,830","63,407","62,723","63,211"
09/20/2024,"63,269","64,103","62,365","62,835"
09/19/2024,"60,069","63,868","59,543","63,270"
